2025-03-23 15:25:58 - Mensaje recibido: {'move': 0, 'timestamp': 1742743558857}
2025-03-23 15:25:58 - Movimiento reenviado: 0
2025-03-23 15:25:59 - Mensaje recibido: {'move': 1, 'timestamp': 1742743559372}
2025-03-23 15:25:59 - Movimiento reenviado: 1
2025-03-23 15:25:59 - Mensaje recibido: {'move': 0, 'timestamp': 1742743559804}
2025-03-23 15:25:59 - Movimiento reenviado: 0
2025-03-23 15:26:00 - Mensaje recibido: {'move': -1, 'timestamp': 1742743560101}
2025-03-23 15:26:00 - Movimiento reenviado: -1
2025-03-23 15:26:00 - Mensaje recibido: {'move': -1, 'timestamp': 1742743560609}
2025-03-23 15:26:00 - Movimiento reenviado: -1
2025-03-23 15:26:00 - Mensaje recibido: {'move': -1, 'timestamp': 1742743560640}
